Day,Focus / Task,Resource / Link,Done (Y/N),Notes
1,Intro to LLMs & Prompting,https://huggingface.co/learn/llm-course/en/chapter1/1,,
2,Prompt Engineering Basics,https://www.analyticsvidhya.com/blog/2024/03/free-chatgpt-prompt-engineering-courses-and-resources/,,
3,Explore Prompt Libraries,https://arxiv.org/abs/2202.01279,,
4,Build simple Chat app with HF model,https://huggingface.co/models,,
5,Follow hands-on GenAI tutorial,https://www.youtube.com/watch?v=bFB4zqkcatU,,
6,Reflect & refine prompts,https://huggingface.co/learn,,
7,Mini-project: Summarizer CLI,https://github.com,,
8,Study LLM architectures,https://huggingface.co/learn/llm-course,,
9,Learn vector DBs + embeddings,https://www.pinecone.io/learn/vector-database/,,
10,Build your first RAG pipeline,https://www.machinelearningmastery.com/building-a-simple-rag-application-using-llamaindex/,,
11,Build Q&A over documents,https://docs.llamaindex.ai,,
12,Experiment with embeddings,https://huggingface.co/sentence-transformers,,
13,Build doc-assistant app with Gradio,https://www.gradio.app,,
14,Review & document learnings,,,
15,Study advanced RAG patterns,https://docs.llamaindex.ai,,
16,Run an LLM locally,https://huggingface.co/models,,
17,Build RAG + Local LLM UI,https://www.gradio.app,,
18,Metadata-based retrieval,https://docs.llamaindex.ai,,
19,Learn LLMOps basics,https://wandb.ai/site,,
20,Build metrics & logging,,,
21,Document your project,https://github.com,,
22,Learn responsible AI / ethics,https://www.partnershiponai.org,,
23,Containerize LLM app,https://docs.docker.com,,
24,Build real-world AI use case,,,
25,Add automated tests (pytest),https://docs.pytest.org,,
26,Polish portfolio (GitHub),https://github.com,,
27,Explore integrations,,,
28,Publish project summary,https://www.linkedin.com,,
29,Review all work,,,
30,Plan next 60-day roadmap,,,
